"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
3,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd526",NA,"booties"
1,"01/15/2004 12:00:00 AM","1074153600","SUE",2,"wd538",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1627",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1619",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1623",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1651",NA,"infant gown"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1708",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1643",NA,"pants"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1603",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1642",NA,"dress"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1634",NA,"cotton one piece outfit or set"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1602",NA,"dress"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1610",NA,"shirt"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1658",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1654",NA,"cotton one piece outfit or set"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1650",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1646",NA,"cotton one piece outfit or set"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1645",NA,"pj,  night gowns,  robes"
1,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1641",NA,"shirt"
3,"01/16/2004 12:00:00 AM","1074240000","SUE",2,"wd1637",NA,"underwear  type onsie"
2,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd418",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1011",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1031",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1007",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd1198",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd980",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd984",NA,"toy,  puzzle or game"
2,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd972",NA,"toy,  puzzle or game"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd5769",2809,"book"
3,"01/14/2004 12:00:00 AM","1074067200","LEA",2,"wd5793",NA,"book"
